EmployeeID,FirstName,LastName,Department,BirthDate,Gender,Salary,ManagerID
1,John,Reynolds,Sales,1985-03-15,M,75000,
2,Sarah,Chen,Sales,1990-07-22,F,62000,1
3,Michael,Patel,Sales,1988-11-08,M,58000,1
4,Emily,Rodriguez,Marketing,1992-01-30,F,55000,5
5,David,Kim,Marketing,1987-06-12,M,68000,
6,Jessica,Lee,Engineering,1991-09-05,F,82000,8
7,Robert,Garcia,Engineering,1984-04-18,M,91000,8
8,Amanda,Thompson,Engineering,1980-08-25,F,105000,
9,Christopher,Brown,Sales,1993-12-03,M,54000,2
10,Olivia,Clark,Marketing,1995-02-14,F,48000,5
11,Daniel,Lewis,Engineering,1989-10-29,M,78000,7
12,Rachel,Walker,HR,1990-05-17,F,52000,5
13,Thomas,Hall,Sales,1986-07-09,M,60000,3
14,Anna,Young,HR,1993-03-21,F,47000,12
15,James,Allen,Sales,1994-08-11,M,51000,2
