OrderID,ProductID,CustomerID,SalesPersonID,OrderDate,ShipDate,OrderStatus,ShipAddress,BillAddress,Quantity,Sales,CreationTime
501,1,3,2,2022-01-20,2022-01-24,Delivered,78 Baker St London UK,78 Baker St London UK,1,1299.99,2022-01-20 09:00:00
502,3,1,9,2022-03-15,2022-03-18,Delivered,123 Main St New York NY,123 Main St New York NY,1,449.99,2022-03-15 11:30:00
503,5,2,13,2022-05-08,2022-05-10,Delivered,456 Oak Ave Los Angeles CA,456 Oak Ave Los Angeles CA,2,99.98,2022-05-08 14:00:00
504,8,5,3,2022-07-12,2022-07-15,Delivered,10 Berlin Str Berlin DE,10 Berlin Str Berlin DE,1,349.99,2022-07-12 10:45:00
505,2,4,2,2022-09-22,2022-09-24,Shipped,22 Maple Rd Toronto ON,22 Maple Rd Toronto ON,5,149.95,2022-09-22 16:20:00
506,11,6,9,2022-11-05,2022-11-08,Delivered,5 Rue Paris Paris FR,5 Rue Paris Paris FR,1,499.99,2022-11-05 13:10:00
507,7,7,13,2023-01-18,2023-01-21,Delivered,88 Sydney Rd Sydney AU,88 Sydney Rd Sydney AU,2,179.98,2023-01-18 08:30:00
508,14,8,2,2023-03-25,2023-03-28,Delivered,300 Pine St Chicago IL,300 Pine St Chicago IL,2,799.98,2023-03-25 17:00:00
509,10,9,3,2023-05-30,2023-06-02,Delivered,44 Thames St London UK,44 Thames St London UK,3,134.97,2023-05-30 12:15:00
510,4,10,13,2023-07-14,2023-07-18,Delivered,55 Queen St Toronto ON,55 Queen St Toronto ON,1,799.99,2023-07-14 09:50:00
511,6,11,9,2023-09-08,2023-09-11,Shipped,77 Elm St Houston TX,77 Elm St Houston TX,4,239.96,2023-09-08 15:40:00
512,13,12,2,2023-11-20,2023-11-23,Delivered,12 Munich Allee Munich DE,12 Munich Allee Munich DE,1,159.99,2023-11-20 11:25:00
513,1,14,3,2023-12-15,2023-12-18,Delivered,200 Cedar Ln Boston MA,200 Cedar Ln Boston MA,2,2599.98,2023-12-15 10:10:00
514,15,15,13,2022-06-28,2022-07-01,Delivered,33 Melbourne Ave Melbourne AU,33 Melbourne Ave Melbourne AU,1,199.99,2022-06-28 14:55:00
515,12,1,9,2023-10-03,2023-10-06,Delivered,123 Main St New York NY,123 Main St New York NY,1,129.99,2023-10-03 16:30:00
